snr_db,ber,num_bits,num_errors,ci_low,ci_high
-2.000000,0.494361,1110000,548741,0.493431,0.495291
-1.500000,0.492480,1110000,546653,0.491550,0.493410
-1.000000,0.489510,1110000,543356,0.488580,0.490440
-0.500000,0.486086,1110000,539555,0.485156,0.487015
0.000000,0.480888,1110000,533786,0.479959,0.481818
0.500000,0.472477,1110000,524449,0.471548,0.473405
1.000000,0.465666,1110000,516889,0.464738,0.466594
1.500000,0.453687,1110000,503593,0.452761,0.454614
2.000000,0.436140,1110000,484115,0.435217,0.437062
2.500000,0.414774,1110000,460399,0.413858,0.415691
3.000000,0.385914,1110000,428364,0.385008,0.386820
3.500000,0.351954,1110000,390669,0.351066,0.352843
4.000000,0.309569,1110000,343622,0.308710,0.310430
4.500000,0.262429,1110000,291296,0.261611,0.263248
5.000000,0.210460,1110000,233611,0.209703,0.211220
5.500000,0.160221,1110000,177845,0.159540,0.160904
6.000000,0.113986,1110000,126525,0.113397,0.114579
6.500000,0.077348,1110000,85856,0.076852,0.077846
7.000000,0.048450,1110000,53780,0.048053,0.048851
7.500000,0.026972,1110000,29939,0.026672,0.027275
8.000000,0.014988,1110000,16637,0.014764,0.015216
8.500000,0.007191,1110000,7982,0.007036,0.007350
9.000000,0.003407,1110000,3782,0.003301,0.003517
9.500000,0.001550,1110000,1721,0.001479,0.001625
10.000000,0.000671,1110000,745,0.000625,0.000721
