snr_db,ber,num_bits,num_errors,ci_low,ci_high
-2.000000,0.474895,1110000,527134,0.473967,0.475825
-1.500000,0.461647,1110000,512428,0.460720,0.462574
-1.000000,0.442878,1110000,491595,0.441955,0.443803
-0.500000,0.414702,1110000,460319,0.413786,0.415619
0.000000,0.372454,1110000,413424,0.371555,0.373354
0.500000,0.316806,1110000,351655,0.315941,0.317672
1.000000,0.249552,1110000,277003,0.248748,0.250358
1.500000,0.180674,1110000,200548,0.179959,0.181391
2.000000,0.115770,1110000,128505,0.115176,0.116367
2.500000,0.063595,1110000,70591,0.063143,0.064051
3.000000,0.030706,1110000,34084,0.030387,0.031029
3.500000,0.013514,1110000,15001,0.013301,0.013731
4.000000,0.005290,1110000,5872,0.005157,0.005427
4.500000,0.001598,1110000,1774,0.001526,0.001674
5.000000,0.000432,1110000,480,0.000395,0.000473
5.500000,0.000147,1110000,163,0.000126,0.000171
6.000000,0.000037,2780000,103,0.000031,0.000045
6.500000,0.000008,13300000,103,0.000006,0.000009
7.000000,0.000000,3960000,0,0.000000,0.000001
