snr_db,ber,num_bits,num_errors,ci_low,ci_high
-2.000000,0.495771,1110000,550306,0.494841,0.496701
-1.500000,0.494654,1110000,549066,0.493724,0.495584
-1.000000,0.490910,1110000,544910,0.489980,0.491840
-0.500000,0.487514,1110000,541140,0.486584,0.488443
0.000000,0.480960,1110000,533866,0.480031,0.481890
0.500000,0.472230,1110000,524175,0.471301,0.473159
1.000000,0.460855,1110000,511549,0.459928,0.461782
1.500000,0.440668,1110000,489141,0.439744,0.441591
2.000000,0.413745,1110000,459257,0.412829,0.414662
2.500000,0.377322,1110000,418827,0.376420,0.378224
3.000000,0.324845,1110000,360578,0.323974,0.325717
3.500000,0.263028,1110000,291961,0.262210,0.263848
4.000000,0.198326,1110000,220142,0.197585,0.199069
4.500000,0.133716,1110000,148425,0.133084,0.134351
5.000000,0.085980,1110000,95438,0.085460,0.086503
5.500000,0.046045,1110000,51110,0.045657,0.046437
6.000000,0.023117,1110000,25660,0.022839,0.023398
6.500000,0.010605,1110000,11771,0.010416,0.010797
7.000000,0.004524,1110000,5022,0.004401,0.004651
7.500000,0.001376,1110000,1527,0.001308,0.001446
8.000000,0.000581,1110000,645,0.000538,0.000628
8.500000,0.000223,1110000,248,0.000197,0.000253
9.000000,0.000052,1970000,102,0.000043,0.000063
9.500000,0.000019,5510000,104,0.000016,0.000023
10.000000,0.000003,36340000,101,0.000002,0.000003
