snr_db,ber,num_bits,num_errors,ci_low,ci_high
-2.000000,0.187238,1110000,207834,0.186513,0.187965
-1.500000,0.176154,1110000,195531,0.175446,0.176864
-1.000000,0.163870,1110000,181896,0.163183,0.164560
-0.500000,0.151877,1110000,168584,0.151211,0.152546
0.000000,0.141427,1110000,156984,0.140780,0.142077
0.500000,0.129756,1110000,144029,0.129132,0.130382
1.000000,0.119068,1110000,132166,0.118467,0.119672
1.500000,0.108592,1110000,120537,0.108014,0.109172
2.000000,0.097823,1110000,108584,0.097272,0.098377
2.500000,0.087431,1110000,97048,0.086907,0.087958
3.000000,0.077254,1110000,85752,0.076759,0.077752
3.500000,0.067731,1110000,75181,0.067265,0.068200
4.000000,0.058638,1110000,65088,0.058202,0.059076
4.500000,0.049794,1110000,55271,0.049391,0.050200
5.000000,0.041752,1110000,46345,0.041382,0.042126
5.500000,0.034559,1110000,38361,0.034221,0.034901
6.000000,0.027986,1110000,31064,0.027680,0.028294
6.500000,0.021915,1110000,24326,0.021645,0.022189
7.000000,0.016803,1110000,18651,0.016565,0.017043
7.500000,0.012665,1110000,14058,0.012459,0.012875
8.000000,0.009308,1110000,10332,0.009131,0.009488
8.500000,0.006477,1110000,7190,0.006330,0.006628
9.000000,0.004444,1110000,4933,0.004322,0.004570
9.500000,0.002891,1110000,3209,0.002793,0.002993
10.000000,0.001741,1110000,1932,0.001665,0.001820
