snr_db,ber,num_bits,num_errors,ci_low,ci_high
-2.000000,0.234467,1110000,260258,0.233679,0.235256
-1.500000,0.223231,1110000,247786,0.222457,0.224006
-1.000000,0.210497,1110000,233652,0.209740,0.211257
-0.500000,0.197868,1110000,219633,0.197127,0.198610
0.000000,0.184683,1110000,204998,0.183962,0.185406
0.500000,0.171086,1110000,189905,0.170386,0.171787
1.000000,0.157006,1110000,174277,0.156331,0.157684
1.500000,0.143558,1110000,159349,0.142907,0.144211
2.000000,0.130092,1110000,144402,0.129467,0.130719
2.500000,0.116572,1110000,129395,0.115976,0.117170
3.000000,0.103364,1110000,114734,0.102799,0.103932
3.500000,0.090439,1110000,100387,0.089907,0.090974
4.000000,0.077750,1110000,86302,0.077253,0.078249
4.500000,0.066916,1110000,74277,0.066453,0.067383
5.000000,0.055921,1110000,62072,0.055495,0.056350
5.500000,0.045756,1110000,50789,0.045369,0.046146
6.000000,0.037542,1110000,41672,0.037190,0.037898
6.500000,0.029295,1110000,32517,0.028983,0.029610
7.000000,0.022502,1110000,24977,0.022228,0.022779
7.500000,0.016975,1110000,18842,0.016736,0.017217
8.000000,0.012333,1110000,13690,0.012130,0.012540
8.500000,0.008625,1110000,9574,0.008455,0.008799
9.000000,0.005852,1110000,6496,0.005712,0.005996
9.500000,0.003844,1110000,4267,0.003731,0.003961
10.000000,0.002359,1110000,2618,0.002270,0.002451
